CARRIER,CUSTOMER Gender,LOCATION,MODE,PRODUCT,PRODUCT TYPE,ROUTE,SUPPLIER,AVAILABILITY (PCT),DEFECT RATE (PCT),ORDERS,PRICE,PRODUCTION,PRODUCTS SOLD,REVENUE,STOCK LEVEL,Shipping costs,Year of Transaction
CARRIER A,FEMALE,BANGALORE,ROAD,SKU71,COSMETICS,ROUTE A,SUPPLIER 2,14,2.078750608,26,6.38,258.00,637.00,8180.337085,76,9,2024
CARRIER A,FEMALE,DELHI,RAIL,SKU50,COSMETICS,ROUTE B,SUPPLIER 2,91,4.754800805,82,14.20,306.00,633.00,5910.88539,31,6,2023
CARRIER A,FEMALE,DELHI,RAIL,SKU74,HAIRCARE,ROUTE A,SUPPLIER 4,64,0.396612724,1,3.17,919.00,904.00,5709.945296,41,5,2024
CARRIER A,FEMALE,KOLKATA,AIR,SKU11,SKINCARE,ROUTE A,SUPPLIER 2,95,0.021169821,60,90.64,362.00,960.00,6099.944116,46,5,2023
CARRIER A,FEMALE,KOLKATA,AIR,SKU39,SKINCARE,ROUTE B,SUPPLIER 2,26,1.451972204,34,19.13,791.00,176.00,1912.465663,78,6,2024
CARRIER A,FEMALE,KOLKATA,ROAD,SKU66,SKINCARE,ROUTE A,SUPPLIER 5,52,3.448063288,19,26.03,867.00,704.00,8367.721618,13,2,2023
CARRIER A,FEMALE,KOLKATA,SEA,SKU37,SKINCARE,ROUTE A,SUPPLIER 3,5,2.610288085,21,23.40,867.00,963.00,2438.33993,25,2,2024
CARRIER A,FEMALE,MUMBAI,ROAD,SKU1,SKINCARE,ROUTE B,SUPPLIER 3,95,4.854068026,37,14.84,517.00,736.00,7460.900065,53,10,2023
CARRIER A,MALE,BANGALORE,RAIL,SKU76,HAIRCARE,ROUTE A,SUPPLIER 2,23,2.180037452,22,69.11,985.00,241.00,5328.375984,38,7,2024
CARRIER A,MALE,BANGALORE,ROAD,SKU13,SKINCARE,ROUTE B,SUPPLIER 5,5,1.63107423,48,16.16,173.00,249.00,4052.738416,80,10,2023
CARRIER A,MALE,BANGALORE,ROAD,SKU51,HAIRCARE,ROUTE A,SUPPLIER 5,61,1.772951172,52,26.70,673.00,154.00,9866.465458,100,5,2024
CARRIER A,MALE,CHENNAI,SEA,SKU87,HAIRCARE,ROUTE B,SUPPLIER 3,24,3.693737788,55,80.41,523.00,79.00,5133.846701,5,7,2023
CARRIER A,MALE,DELHI,SEA,SKU55,HAIRCARE,ROUTE B,SUPPLIER 2,16,4.548919659,11,79.86,918.00,701.00,2925.67517,97,5,2024
CARRIER A,MALE,MUMBAI,ROAD,SKU97,HAIRCARE,ROUTE A,SUPPLIER 4,56,3.376237835,4,3.53,535.00,62.00,4370.91658,46,8,2023
CARRIER A,MALE,MUMBAI,SEA,SKU88,COSMETICS,ROUTE A,SUPPLIER 2,58,0.722204402,85,75.27,953.00,737.00,9444.742033,60,4,2024
CARRIER A,NON-BINARY,BANGALORE,RAIL,SKU72,COSMETICS,ROUTE B,SUPPLIER 1,88,3.213329607,77,90.20,152.00,478.00,2633.121981,57,7,2023
CARRIER A,NON-BINARY,BANGALORE,SEA,SKU63,SKINCARE,ROUTE A,SUPPLIER 3,55,3.63284329,10,13.02,736.00,246.00,4256.949141,54,2,2024
CARRIER A,NON-BINARY,DELHI,AIR,SKU4,SKINCARE,ROUTE A,SUPPLIER 1,26,3.145579523,56,4.81,414.00,871.00,2686.505152,5,4,2023
CARRIER A,NON-BINARY,DELHI,ROAD,SKU58,SKINCARE,ROUTE B,SUPPLIER 3,81,1.73037472,44,59.84,396.00,896.00,2021.14981,10,5,2024
CARRIER A,UNKNOWN,CHENNAI,AIR,SKU20,SKINCARE,ROUTE B,SUPPLIER 1,22,4.231416574,68,96.34,309.00,320.00,8128.027697,27,9,2023
CARRIER A,UNKNOWN,CHENNAI,AIR,SKU84,HAIRCARE,ROUTE B,SUPPLIER 5,99,4.843456577,80,89.10,589.00,618.00,2048.2901,73,8,2024
CARRIER A,UNKNOWN,CHENNAI,RAIL,SKU9,SKINCARE,ROUTE B,SUPPLIER 2,35,3.844614479,83,64.02,963.00,980.00,4971.145988,14,7,2023
CARRIER A,UNKNOWN,CHENNAI,ROAD,SKU19,SKINCARE,ROUTE C,SUPPLIER 4,100,3.646450865,94,51.12,694.00,187.00,2553.495585,48,5,2024
CARRIER A,UNKNOWN,CHENNAI,ROAD,SKU34,SKINCARE,ROUTE B,SUPPLIER 1,96,0.646604559,21,37.47,452.00,602.00,9061.710896,1,1,2023
CARRIER A,UNKNOWN,KOLKATA,RAIL,SKU22,HAIRCARE,ROUTE C,SUPPLIER 4,55,2.591275473,63,27.68,780.00,884.00,2390.807867,71,10,2024
CARRIER A,UNKNOWN,KOLKATA,RAIL,SKU23,COSMETICS,ROUTE A,SUPPLIER 5,30,1.342291563,29,4.32,568.00,391.00,8858.367571,84,3,2023
CARRIER A,UNKNOWN,KOLKATA,ROAD,SKU12,HAIRCARE,ROUTE B,SUPPLIER 4,41,2.161253748,85,71.21,563.00,336.00,2873.741446,100,1,2024
CARRIER A,UNKNOWN,MUMBAI,ROAD,SKU82,SKINCARE,ROUTE C,SUPPLIER 2,13,4.137877049,72,17.03,955.00,336.00,2943.381868,42,5,2023
CARRIER B,FEMALE,BANGALORE,AIR,SKU16,SKINCARE,ROUTE A,SUPPLIER 1,74,1.012563089,78,7.55,399.00,280.00,6453.797968,2,4,2024
CARRIER B,FEMALE,BANGALORE,ROAD,SKU7,COSMETICS,ROUTE C,SUPPLIER 4,59,0.398177187,11,42.96,564.00,426.00,8496.103813,93,2,2023
CARRIER B,FEMALE,BANGALORE,ROAD,SKU70,HAIRCARE,ROUTE C,SUPPLIER 1,90,1.830575599,22,47.91,775.00,32.00,7014.887987,10,6,2024
CARRIER B,FEMALE,CHENNAI,RAIL,SKU98,SKINCARE,ROUTE A,SUPPLIER 5,43,2.908122169,27,19.75,581.00,913.00,8525.95256,53,1,2023
CARRIER B,FEMALE,CHENNAI,SEA,SKU41,SKINCARE,ROUTE A,SUPPLIER 4,35,0.045302262,38,99.11,892.00,556.00,5521.205259,64,6,2024
CARRIER B,FEMALE,DELHI,AIR,SKU36,SKINCARE,ROUTE C,SUPPLIER 2,34,3.805533379,28,9.81,671.00,963.00,7573.402458,18,2,2023
CARRIER B,FEMALE,KOLKATA,ROAD,SKU29,COSMETICS,ROUTE B,SUPPLIER 1,3,3.878098937,67,63.45,329.00,253.00,8318.903195,45,8,2024
CARRIER B,FEMALE,MUMBAI,AIR,SKU28,COSMETICS,ROUTE A,SUPPLIER 1,12,0.815757079,24,2.40,171.00,394.00,6117.324615,48,10,2023
CARRIER B,MALE,BANGALORE,RAIL,SKU26,HAIRCARE,ROUTE A,SUPPLIER 2,9,2.119319737,48,97.45,171.00,353.00,3716.493326,59,7,2024
CARRIER B,MALE,CHENNAI,RAIL,SKU31,SKINCARE,ROUTE C,SUPPLIER 3,28,2.989000007,44,50.85,461.00,168.00,9655.135103,6,3,2023
CARRIER B,MALE,CHENNAI,RAIL,SKU45,HAIRCARE,ROUTE A,SUPPLIER 2,1,3.219604612,52,33.78,794.00,24.00,5267.956808,93,5,2024
CARRIER B,MALE,CHENNAI,ROAD,SKU73,COSMETICS,ROUTE A,SUPPLIER 4,41,4.620546065,66,83.85,444.00,375.00,7910.886916,17,2,2023
CARRIER B,MALE,DELHI,AIR,SKU53,SKINCARE,ROUTE B,SUPPLIER 1,93,1.410347576,54,30.34,631.00,242.00,8232.334829,96,1,2024
CARRIER B,MALE,DELHI,RAIL,SKU91,COSMETICS,ROUTE B,SUPPLIER 4,90,0.626001858,85,62.11,207.00,916.00,1935.206794,98,7,2023
CARRIER B,MALE,KOLKATA,RAIL,SKU47,SKINCARE,ROUTE A,SUPPLIER 1,93,0.380573587,51,95.71,964.00,910.00,7089.47425,4,9,2024
CARRIER B,MALE,KOLKATA,ROAD,SKU30,HAIRCARE,ROUTE C,SUPPLIER 4,10,0.965394705,35,8.02,806.00,327.00,2766.342367,60,9,2023
CARRIER B,MALE,MUMBAI,AIR,SKU52,SKINCARE,ROUTE C,SUPPLIER 1,1,2.122471619,11,98.03,727.00,820.00,9435.762609,64,9,2024
CARRIER B,MALE,MUMBAI,RAIL,SKU92,COSMETICS,ROUTE B,SUPPLIER 2,44,0.333431825,10,47.71,671.00,276.00,2100.129755,90,4,2023
CARRIER B,NON-BINARY,BANGALORE,AIR,SKU79,HAIRCARE,ROUTE C,SUPPLIER 3,56,0.165871627,20,57.06,228.00,198.00,7888.723268,31,6,2024
CARRIER B,NON-BINARY,BANGALORE,RAIL,SKU68,HAIRCARE,ROUTE A,SUPPLIER 2,29,1.983467872,58,37.93,375.00,163.00,3550.218433,0,1,2023
CARRIER B,NON-BINARY,BANGALORE,RAIL,SKU90,SKINCARE,ROUTE B,SUPPLIER 3,56,1.219382224,96,13.88,585.00,320.00,9592.63357,66,8,2024
CARRIER B,NON-BINARY,BANGALORE,ROAD,SKU5,HAIRCARE,ROUTE A,SUPPLIER 4,87,2.779193512,66,1.70,104.00,147.00,2828.348746,90,4,2023
CARRIER B,NON-BINARY,BANGALORE,SEA,SKU15,SKINCARE,ROUTE B,SUPPLIER 1,94,2.264405761,69,36.99,580.00,469.00,5442.086785,9,2,2024
CARRIER B,NON-BINARY,CHENNAI,ROAD,SKU46,HAIRCARE,ROUTE B,SUPPLIER 3,75,3.648610593,6,27.08,870.00,859.00,2556.767361,92,4,2023
CARRIER B,NON-BINARY,KOLKATA,AIR,SKU14,SKINCARE,ROUTE B,SUPPLIER 1,26,0.100682852,78,99.17,558.00,562.00,8653.570926,54,2,2024
CARRIER B,NON-BINARY,KOLKATA,AIR,SKU59,COSMETICS,ROUTE A,SUPPLIER 1,30,0.447194015,26,63.83,176.00,484.00,1061.618523,100,7,2023
CARRIER B,NON-BINARY,KOLKATA,AIR,SKU69,SKINCARE,ROUTE A,SUPPLIER 4,62,1.362387989,27,54.87,862.00,511.00,1752.381087,95,10,2024
CARRIER B,NON-BINARY,KOLKATA,ROAD,SKU54,HAIRCARE,ROUTE B,SUPPLIER 1,11,2.478771976,61,31.15,497.00,622.00,6088.02148,33,4,2023
CARRIER B,NON-BINARY,MUMBAI,AIR,SKU38,COSMETICS,ROUTE B,SUPPLIER 5,75,0.613326899,88,52.08,841.00,705.00,9692.31804,69,9,2024
CARRIER B,NON-BINARY,MUMBAI,ROAD,SKU0,HAIRCARE,ROUTE B,SUPPLIER 3,55,0.226410361,96,69.81,215.00,802.00,8661.996792,58,3,2023
CARRIER B,UNKNOWN,BANGALORE,ROAD,SKU83,HAIRCARE,ROUTE A,SUPPLIER 1,82,0.773006134,7,68.91,443.00,663.00,2411.754632,65,5,2024
CARRIER B,UNKNOWN,CHENNAI,AIR,SKU21,COSMETICS,ROUTE C,SUPPLIER 5,60,0.018607568,7,84.89,791.00,601.00,7087.052696,69,6,2023
CARRIER B,UNKNOWN,CHENNAI,RAIL,SKU99,HAIRCARE,ROUTE B,SUPPLIER 2,17,0.346027291,59,68.52,921.00,627.00,9185.185829,55,1,2024
CARRIER B,UNKNOWN,DELHI,RAIL,SKU57,HAIRCARE,ROUTE A,SUPPLIER 2,65,2.51117483,51,49.26,588.00,227.00,1605.8669,5,9,2023
CARRIER B,UNKNOWN,DELHI,RAIL,SKU81,HAIRCARE,ROUTE B,SUPPLIER 3,9,2.547547122,8,72.82,698.00,774.00,4384.4134,48,4,2024
CARRIER B,UNKNOWN,DELHI,RAIL,SKU94,COSMETICS,ROUTE B,SUPPLIER 2,97,1.463607498,72,3.04,908.00,987.00,7888.356547,77,7,2023
CARRIER B,UNKNOWN,KOLKATA,RAIL,SKU89,COSMETICS,ROUTE B,SUPPLIER 1,10,1.907665734,27,97.76,370.00,134.00,5924.682567,90,10,2024
CARRIER B,UNKNOWN,KOLKATA,ROAD,SKU77,HAIRCARE,ROUTE B,SUPPLIER 1,14,3.055141818,57,57.45,334.00,359.00,2483.760178,96,7,2023
CARRIER B,UNKNOWN,MUMBAI,AIR,SKU2,HAIRCARE,ROUTE C,SUPPLIER 1,34,4.580592619,88,11.32,971.00,8.00,9577.749626,1,8,2024
CARRIER B,UNKNOWN,MUMBAI,AIR,SKU43,HAIRCARE,ROUTE A,SUPPLIER 5,6,0.372304768,85,11.74,206.00,598.00,5737.425599,36,4,2023
CARRIER B,UNKNOWN,MUMBAI,AIR,SKU95,HAIRCARE,ROUTE A,SUPPLIER 4,65,1.21088213,26,77.90,450.00,672.00,7386.363944,15,9,2024
CARRIER B,UNKNOWN,MUMBAI,RAIL,SKU86,SKINCARE,ROUTE A,SUPPLIER 1,18,2.051512931,22,20.00,569.00,223.00,1229.591029,32,1,2023
CARRIER B,UNKNOWN,MUMBAI,SEA,SKU78,HAIRCARE,ROUTE C,SUPPLIER 5,50,4.096881332,51,6.31,858.00,946.00,1292.458418,5,8,2024
CARRIER C,FEMALE,BANGALORE,ROAD,SKU42,SKINCARE,ROUTE A,SUPPLIER 5,98,4.939255289,57,46.53,179.00,155.00,1839.609426,22,8,2023
CARRIER C,FEMALE,CHENNAI,AIR,SKU17,COSMETICS,ROUTE C,SUPPLIER 1,82,0.102020755,85,81.46,453.00,126.00,2629.396435,45,4,2024
CARRIER C,FEMALE,CHENNAI,ROAD,SKU85,COSMETICS,ROUTE B,SUPPLIER 5,83,1.374429,66,76.96,211.00,25.00,8684.613059,15,8,2023
CARRIER C,FEMALE,DELHI,AIR,SKU64,SKINCARE,ROUTE C,SUPPLIER 1,11,0.159486315,75,89.63,328.00,134.00,8458.730878,73,5,2024
CARRIER C,FEMALE,DELHI,RAIL,SKU44,COSMETICS,ROUTE A,SUPPLIER 2,34,2.96262632,72,51.36,834.00,919.00,7152.286049,13,8,2023
CARRIER C,FEMALE,DELHI,SEA,SKU35,COSMETICS,ROUTE C,SUPPLIER 1,11,0.541154098,85,84.96,367.00,449.00,6541.329345,42,5,2024
CARRIER C,FEMALE,KOLKATA,ROAD,SKU40,SKINCARE,ROUTE A,SUPPLIER 1,97,4.213269431,39,80.54,793.00,933.00,5724.95935,90,7,2023
CARRIER C,FEMALE,MUMBAI,RAIL,SKU60,SKINCARE,ROUTE A,SUPPLIER 4,16,2.853090617,72,17.03,929.00,380.00,8864.08435,41,4,2024
CARRIER C,FEMALE,MUMBAI,SEA,SKU8,COSMETICS,ROUTE B,SUPPLIER 4,78,2.709862691,15,68.72,769.00,150.00,7517.363211,5,3,2023
CARRIER C,MALE,BANGALORE,AIR,SKU24,HAIRCARE,ROUTE A,SUPPLIER 2,32,3.691310293,2,4.16,447.00,209.00,9049.077861,4,10,2024
CARRIER C,MALE,KOLKATA,RAIL,SKU65,SKINCARE,ROUTE C,SUPPLIER 5,72,4.911095955,54,33.70,358.00,457.00,8354.579686,57,7,2023
CARRIER C,MALE,KOLKATA,ROAD,SKU25,HAIRCARE,ROUTE B,SUPPLIER 4,73,3.797231217,52,39.63,934.00,142.00,2174.777054,82,2,2024
CARRIER C,MALE,KOLKATA,SEA,SKU6,SKINCARE,ROUTE A,SUPPLIER 3,48,1.000910619,58,4.08,314.00,65.00,7823.47656,11,4,2023
CARRIER C,NON-BINARY,CHENNAI,AIR,SKU75,SKINCARE,ROUTE C,SUPPLIER 1,29,2.030069089,56,93.00,759.00,106.00,1889.07359,16,2,2023
CARRIER C,NON-BINARY,CHENNAI,SEA,SKU33,COSMETICS,ROUTE A,SUPPLIER 5,63,3.541046012,95,64.80,251.00,616.00,5149.99835,4,5,2024
CARRIER C,NON-BINARY,KOLKATA,RAIL,SKU3,SKINCARE,ROUTE A,SUPPLIER 5,68,4.746648621,59,61.16,937.00,83.00,7766.836426,23,2,2024
CARRIER C,NON-BINARY,KOLKATA,ROAD,SKU10,SKINCARE,ROUTE B,SUPPLIER 5,11,1.727313928,80,15.71,830.00,996.00,2330.965802,51,9,2023
CARRIER C,NON-BINARY,MUMBAI,AIR,SKU56,SKINCARE,ROUTE B,SUPPLIER 1,90,1.173755495,83,20.99,826.00,93.00,4767.020484,25,2,2024
CARRIER C,NON-BINARY,MUMBAI,RAIL,SKU48,HAIRCARE,ROUTE B,SUPPLIER 2,28,1.698112541,9,76.04,109.00,29.00,7397.071005,30,7,2023
CARRIER C,NON-BINARY,MUMBAI,ROAD,SKU96,COSMETICS,ROUTE A,SUPPLIER 3,29,3.872047681,32,24.42,648.00,324.00,7698.424766,67,5,2023
CARRIER C,UNKNOWN,CHENNAI,AIR,SKU93,HAIRCARE,ROUTE A,SUPPLIER 4,88,4.165781795,66,69.29,824.00,114.00,4531.402134,63,7,2024
CARRIER C,UNKNOWN,CHENNAI,SEA,SKU80,SKINCARE,ROUTE B,SUPPLIER 3,75,2.849662199,41,91.13,202.00,872.00,8651.672683,39,3,2023
CARRIER C,UNKNOWN,DELHI,RAIL,SKU49,COSMETICS,ROUTE A,SUPPLIER 5,19,2.825813985,9,78.90,177.00,99.00,8001.613207,97,3,2024
CARRIER C,UNKNOWN,KOLKATA,AIR,SKU61,HAIRCARE,ROUTE A,SUPPLIER 4,23,4.367470538,36,52.03,480.00,117.00,6885.589351,32,9,2023
CARRIER C,UNKNOWN,KOLKATA,ROAD,SKU32,SKINCARE,ROUTE A,SUPPLIER 3,43,1.946036119,64,79.21,737.00,781.00,9571.550487,89,7,2024
CARRIER C,UNKNOWN,KOLKATA,SEA,SKU18,HAIRCARE,ROUTE A,SUPPLIER 2,23,2.231939111,46,36.44,374.00,620.00,9364.673505,10,4,2023
CARRIER C,UNKNOWN,MUMBAI,SEA,SKU27,COSMETICS,ROUTE B,SUPPLIER 5,42,2.864667838,62,92.56,291.00,352.00,2686.457224,47,7,2023
CARRIER C,UNKNOWN,MUMBAI,SEA,SKU62,COSMETICS,ROUTE C,SUPPLIER 2,89,1.874001404,40,72.80,751.00,270.00,3899.746834,86,7,2023
CARRIER C,UNKNOWN,MUMBAI,SEA,SKU67,SKINCARE,ROUTE C,SUPPLIER 1,16,0.131955444,71,87.76,198.00,513.00,9473.798033,12,9,2023